id,qtde_regioes,area,perimetro,circularidade_almofada,especie
001,5,17612.5,1409.7514292001724,0.42024523214951554,coiote
002,5,9222.0,1125.2934973239899,0.3026661683288605,coiote
003,5,5717.0,847.1269772052765,0.5981096916194479,coiote
004,5,8794.5,1032.2813054323196,0.46504378793136536,coiote
005,5,8867.5,928.7665877342224,0.7653878548691527,coiote
006,5,9483.0,1451.5432784557343,0.21687463113354585,coiote
007,5,12588.5,1178.6488363742828,0.3751779722707283,coiote
008,5,15378.5,1909.4082820415497,0.39151915427269024,coiote
009,5,10542.5,1130.305691242218,0.5341017253759682,coiote
010,5,5797.0,1100.7838304042816,0.6455629221354923,coiote
011,5,15047.5,1371.4427717924118,0.42966621698908003,coiote
012,5,7682.5,954.766587138176,0.5556538968185364,coiote
013,5,7955.0,1212.9503514766693,0.3907646828074159,coiote
014,5,5933.0,950.9848425388336,0.3968343477092816,coiote
015,5,12598.0,1323.7199031114578,0.5439279335108615,coiote
016,5,7732.5,1086.423440694809,0.5292212707303746,coiote
017,5,6293.5,909.4284933805466,0.34768559193353443,coiote
018,5,8260.5,1191.1341158151627,0.49300730418700395,coiote
019,5,12930.0,1043.4356348514557,0.43844003722955327,coiote
020,5,12703.5,1116.2468138933182,0.5737996064000696,coiote
021,5,9798.0,1383.9209138154984,0.23102248659878927,coiote
022,5,17689.5,1738.2955833673477,0.3848638675441786,coiote
023,5,15045.0,1538.8569869995117,0.45528980193131263,coiote
024,5,15648.5,1601.5849084854126,0.6027356889932676,coiote
025,5,11936.0,957.3767591714859,0.5806208109093219,coiote
026,5,12077.5,1170.8498460054398,0.6117107084435915,coiote
027,5,12077.5,1170.8498460054398,0.6117107084435915,coiote
028,5,10273.5,1232.1046806573868,0.5096364586759502,coiote
029,5,8242.0,953.2102377414703,0.3979975758343727,coiote
030,5,8155.5,936.68332695961,0.598212589920058,coiote
031,5,8252.5,1022.0802941322327,0.46679604062030644,coiote
032,5,13629.0,1006.9747388362885,0.6409212573160109,coiote
033,5,14241.5,1476.8153554201126,0.3844509713331574,coiote
034,5,13207.0,1354.773725271225,0.4881891369644954,coiote
035,5,9948.0,920.9503540992737,0.5502961137874617,lince-pardo
036,5,8611.0,1269.116872549057,0.4466408395256353,lince-pardo
037,5,8506.5,1025.1097333431244,0.35900117305657436,lince-pardo
038,5,9598.5,1195.9625438451767,0.23969536360913896,lince-pardo
039,5,13458.5,1231.1341193914413,0.34137111263180003,lince-pardo
040,5,9795.5,1557.7859185934067,0.3085400868650495,lince-pardo
041,5,16463.5,1052.1046797037125,0.7962960090498508,lince-pardo
042,5,11064.5,1079.7371493577957,0.47164879678738963,lince-pardo
043,5,12048.5,1172.6488379240036,0.591755942746014,lince-pardo
044,5,9247.5,946.4234411716461,0.647119577641005,lince-pardo
045,5,13837.5,1072.2813061475754,0.6388866930834831,lince-pardo
046,5,13700.0,1224.8569860458374,0.7870419339455181,lince-pardo
047,5,13805.5,1079.2173790931702,0.6169309144542227,lince-pardo
048,5,12524.0,1570.9402488470078,0.31593880233772775,lince-pardo
049,5,16073.0,1339.5777683258057,0.6505199318944238,lince-pardo
050,5,7587.5,951.3696179389954,0.2942947370204046,lince-pardo
051,5,14860.0,1215.6021536588669,0.4108634419740386,lince-pardo
052,5,14822.5,1202.6143481731415,0.5352482187933029,lince-pardo
053,5,8492.5,1025.5117527246475,0.45730720888408494,lince-pardo
054,5,10146.5,1268.3645651340485,0.3168893296669374,lince-pardo
055,5,15458.0,1005.2346233129501,0.713943585051388,lince-pardo
056,5,15441.0,1097.0336118936539,0.5039482118061773,lince-pardo
057,5,17132.5,1238.6732203960419,0.7085799482376934,lince-pardo
058,5,13694.0,1257.2346235513687,0.4861297590387458,lince-pardo
059,5,17952.0,1347.460018992424,0.5214571789049526,lince-pardo
060,5,16646.5,1132.9331067800522,0.7023829637686165,lince-pardo
061,5,13776.0,1104.6904665231705,0.5318254207181913,lince-pardo
062,5,15916.5,1182.589962363243,0.5985968088922247,lince-pardo
063,5,18017.0,1812.940246105194,0.40730402519600883,lince-pardo
064,5,10043.5,1053.5361387729645,0.5009560988760497,lince-pardo
065,5,11013.5,1086.9919811487198,0.510858946799432,lince-pardo
066,5,11934.0,1226.3473207950592,0.33972436282168433,lince-pardo
067,5,12286.5,1349.7026572227478,0.2908016244148211,lince-pardo
068,5,8981.5,1054.2224298715591,0.34510860945475114,lince-pardo
069,5,12927.0,1225.7199045419693,0.28279127658680947,lince-pardo
070,5,16743.0,1523.9696850776672,0.3899090361067749,lince-pardo
071,5,11699.0,1036.8082169294357,0.5175630329935608,lince-pardo
072,5,9225.5,978.4823169708252,0.29336421395112544,lince-pardo
073,5,11494.5,1323.9036699533463,0.3195532841766961,lince-pardo
074,5,14039.5,984.6488363742828,0.6059521845694387,lince-pardo
075,5,21058.0,1453.9108098745346,0.5031227647771159,lince-pardo
076,5,10318.5,1126.9087228775024,0.42526200794154434,lince-pardo
077,5,15516.5,1184.3056894540787,0.6297142892995445,lince-pardo
078,5,19258.5,1563.4671581983566,0.5500895978578442,lince-pardo
079,5,12633.5,1308.187939286232,0.4744197729665299,lince-pardo
080,5,13217.5,1144.7909729480743,0.4648327336141117,lince-pardo
081,5,20552.0,1444.3128315210342,0.4453730953189082,lince-pardo
082,5,19541.5,1376.437722325325,0.6404276787208543,lince-pardo
083,5,13739.5,1406.8498466014862,0.4107273451666802,lince-pardo
084,5,16435.0,1121.5188940763474,0.6097038628740991,lince-pardo
085,5,13777.0,1362.6904660463333,0.4844589429857791,lince-pardo
